,Unnamed: 0,url,domain,post_id,published,author,flow,polling,content_len,title,comments,favs,views,votes_plus,votes_minus,views_lognorm,favs_lognorm,comments_lognorm
18,18,https://habrahabr.ru/post/18334/,habrahabr.ru,18334,2008-01-04 23:18:00,@Shpankov,develop,False,979,Исторический кадр,2,1,202,15.0,10.0,-0.907007667561,-0.820144348427,-1.52489673738
19,19,https://habrahabr.ru/post/18335/,habrahabr.ru,18335,2008-01-04 23:22:00,@Shpankov,develop,False,1205,Оперный боец,19,0,309,29.0,12.0,-0.589595203639,-1.31782244939,-0.100403275907
20,20,https://habrahabr.ru/post/18336/,habrahabr.ru,18336,2008-01-04 23:28:00,@Shpankov,develop,False,859,Оперное мини-расследование,83,0,127,15.0,11.0,-1.24537912576,-1.31088836519,0.972016980619
21,21,https://habrahabr.ru/post/18337/,habrahabr.ru,18337,2008-01-04 23:30:00,@Shpankov,develop,False,654,Хочу телебраузер!,10,0,187,6.0,11.0,-0.953927272125,-1.30406259835,-0.550682412052
22,22,https://habrahabr.ru/post/18339/,habrahabr.ru,18339,2008-01-04 23:33:00,@Shpankov,develop,False,863,Opera 9.5 SDK для устройств,2,0,181,10.0,8.0,-0.974524931782,-1.2973423579,-1.52147799163
23,23,https://habrahabr.ru/post/18341/,habrahabr.ru,18341,2008-01-04 23:37:00,@Shpankov,develop,False,1248,И снова о популярности,37,0,175,12.0,13.0,-0.995797511062,-1.29072495249,0.383127584312
24,24,https://habrahabr.ru/post/18349/,habrahabr.ru,18349,2008-01-05 13:10:00,@calg0n,admin,False,1301,Установка драйвера для видяхи NVIDIA в Ubuntu 7.10,18,2,656,8.0,5.0,-0.0268623727865,-0.502150023526,-0.148928381681
25,25,https://habrahabr.ru/post/18356/,habrahabr.ru,18356,2008-01-05 17:26:00,@agl666,misc,False,1037,Скрытие всей ветки комментариев если родительский скрыт,6,0,158,6.0,3.0,-1.07346032119,-1.27334515832,-0.882437091815
26,26,https://habrahabr.ru/post/18362/,habrahabr.ru,18362,2008-01-05 20:33:00,@kudzu,develop,False,202,М.Грубер — Понимание SQL.,36,26,17000,45.0,9.0,2.35737871948,1.05824759868,0.354451698536
27,27,https://habrahabr.ru/post/18363/,habrahabr.ru,18363,2008-01-05 21:43:00,@Langraf,develop,False,1175,9 монет,44,1,397,7.0,7.0,-0.397902683323,-0.771296251708,0.504431481187
28,28,https://geektimes.ru/post/18367/,geektimes.ru,18367,2008-01-06 02:48:00,@CurlyBrace,,False,2240,Перепрошить мобилу или Всегда бывает первый раз,0,0,217,0.0,0.0,-0.784913133667,-1.20700726503,-2.23384270903
29,29,https://habrahabr.ru/post/31353/,habrahabr.ru,31353,2008-01-06 11:29:00,@vladbuk,develop,False,591,Краткий справочник по Вордпресс,19,39,1900,32.0,3.0,0.73600316202,1.33239441205,-0.109080132655
30,30,https://habrahabr.ru/post/31354/,habrahabr.ru,31354,2008-01-06 13:14:00,@suckdontbite,develop,False,591,Syntax Highlighter — подсветка синтаксиса кода на вашей вебстранице,30,53,4200,34.0,4.0,1.30881123033,1.535549525,0.219503647168
31,31,https://habrahabr.ru/post/18374/,habrahabr.ru,18374,2008-01-06 14:25:00,@likegroof,develop,False,3394,Parser. Практическое применение,43,20,10300,37.0,12.0,1.95135886522,0.864711833948,0.481933907791
32,32,https://habrahabr.ru/post/18375/,habrahabr.ru,18375,2008-01-06 15:05:00,@blv,admin,False,3513,Описание более 350 команд Линукс,89,233,28100,70.0,4.0,2.65582684212,2.54897793584,1.01877373356
33,33,https://geektimes.ru/post/18380/,geektimes.ru,18380,2008-01-06 18:03:00,@kudzu,,False,1546,Google Wiki-killer открывает новую площадь объявлений.,0,0,318,0.0,0.0,-0.941969241695,-0.446216660076,-0.228099803779
34,34,https://geektimes.ru/post/18381/,geektimes.ru,18381,2008-01-06 18:03:00,@kudzu,,False,1546,Google Wiki-killer открывает новую площадь объявлений.,12,1,188,5.0,2.0,-0.364366767638,-1.19516740097,-2.12920625602
35,35,https://geektimes.ru/post/18391/,geektimes.ru,18391,2008-01-07 01:16:00,@andreikharlanov,,False,4195,Программа 1Password — бесплатно,31,13,21200,19.0,3.0,4.27740991672,1.69976466406,0.467303683455
36,36,https://geektimes.ru/post/18392/,geektimes.ru,18392,2008-01-07 01:38:00,@meako,,False,2860,Надоела среда оформления Windows? Вас спасет BlackBox 4 Win,114,61,6600,43.0,7.0,2.79440353061,3.29870766533,1.42845150118
37,37,https://geektimes.ru/post/18396/,geektimes.ru,18396,2008-01-07 04:24:00,@olegi,,False,5330,План на Windows Mobile 7 = (Мульти)тач + жесты мобильником + анимация GUI,97,6,409,50.0,7.0,-0.120406075663,0.868095244165,1.28811060566
38,38,https://habrahabr.ru/post/18397/,habrahabr.ru,18397,2008-01-07 06:13:00,@Astramak,admin,False,3797,Не бойтесь линукса,397,11,761,49.0,31.0,0.0447792636542,0.454590247495,2.12846166078
39,39,https://habrahabr.ru/post/18398/,habrahabr.ru,18398,2008-01-07 06:32:00,@negrienko,develop,False,326,Денвер-3 — официальная версия,67,18,6300,44.0,11.0,1.54897084007,0.771589322501,0.78621475133
40,40,https://habrahabr.ru/post/18401/,habrahabr.ru,18401,2008-01-07 12:04:00,@suckdontbite,develop,False,461,Генератор favicons,39,54,374,31.0,6.0,-0.464996956496,1.50547987846,0.387209007501
41,41,https://habrahabr.ru/post/18402/,habrahabr.ru,18402,2008-01-07 13:27:00,@vladon,develop,False,2449,Wikia Search — первые впечатления,32,4,379,34.0,3.0,-0.454471504339,-0.161107858963,0.242349067034
42,42,https://geektimes.ru/post/18404/,geektimes.ru,18404,2008-01-07 15:15:00,@lvader,,False,645,Engdadget опубликовал фотографии и частично спецификации новых моделей телефонов Nokia E-серии,5,1,130,5.0,7.0,-1.28310098543,-0.455007891322,-0.807430584174
43,43,https://habrahabr.ru/post/18407/,habrahabr.ru,18407,2008-01-07 15:25:00,@VVBash,admin,False,1526,PSPI — запуск фотошопных плагинов под Гимпом!,34,27,628,43.0,0.0,-0.0944138861653,1.03197408525,0.285972319098
44,44,https://habrahabr.ru/post/18408/,habrahabr.ru,18408,2008-01-07 17:22:00,@cyboru,develop,False,789,Краткий справочник по PostgreSQL 8.3,3,24,1700,16.0,1.0,0.615799673689,0.949398958489,-1.34404334834
45,45,https://geektimes.ru/post/18409/,geektimes.ru,18409,2008-01-07 17:49:00,@agl666,,False,2843,Aimp2 — бесплатный отечественный проигрыватель,169,11,20600,45.0,10.0,3.87342572689,1.43688798424,1.69480235154
46,46,https://habrahabr.ru/post/18410/,habrahabr.ru,18410,2008-01-07 18:18:00,@Klaus,misc,False,2927,BarCamp Baltics 2008,14,0,202,8.0,3.0,-0.903799097164,-1.27951033421,-0.341578119031
47,47,https://geektimes.ru/post/18412/,geektimes.ru,18412,2008-01-07 18:53:00,@MrTwister,,False,783,Последний рабочий день Билла Гейтса в Microsoft (видео),68,12,1400,44.0,5.0,1.05625770361,1.4986776248,0.996906840778
48,48,https://habrahabr.ru/post/18413/,habrahabr.ru,18413,2008-01-07 19:13:00,@Chemist,misc,False,2551,Объединяя социальные сети — bestpersons.ru. Новые возможности.,115,13,253,35.0,9.0,-0.738968885161,0.554420319076,1.19595069101
49,49,https://habrahabr.ru/post/18416/,habrahabr.ru,18416,2008-01-07 20:10:00,@Disaview,misc,False,1275,Top4top открыт!,360,6,597,38.0,15.0,-0.118609589111,0.072408050558,2.04261229357
50,50,https://habrahabr.ru/post/18417/,habrahabr.ru,18417,2008-01-07 20:13:00,@hightower,misc,False,3581,Голосуй за контент и зарабатывай,17,3,373,9.0,3.0,-0.457851206762,-0.316502613051,-0.214825871312
51,51,https://habrahabr.ru/post/18419/,habrahabr.ru,18419,2008-01-07 21:54:00,@kylish,misc,False,589,Долгожданное открытие,0,0,199,0.0,1.0,-0.916795369936,-1.27948964004,-2.36492705748
52,52,https://habrahabr.ru/post/18423/,habrahabr.ru,18423,2008-01-08 01:00:00,@Bulletproof,develop,False,529,Создатель YSlow будет работать на Google,10,0,311,10.0,0.0,-0.591513113739,-1.27304986674,-0.562396113644
53,53,https://habrahabr.ru/post/18425/,habrahabr.ru,18425,2008-01-08 01:18:00,@r13,admin,False,5754,TextMate средствами gedit,120,118,4900,37.0,4.0,1.40716072277,2.04295657317,1.21444425783
54,54,https://habrahabr.ru/post/18428/,habrahabr.ru,18428,2008-01-08 04:22:00,@altmind,misc,False,283,Улучшение Поиска,44,4,239,31.0,1.0,-0.78623569814,-0.158964260053,0.473158024224
55,55,https://geektimes.ru/post/18429/,geektimes.ru,18429,2008-01-08 06:13:00,@sunnyfox,,False,4874,"Дела давно минувших дней, преданья старины глубокой…",19,2,306,14.0,1.0,-0.427839671533,-0.0485867695263,0.0639345934487
56,56,https://habrahabr.ru/post/18437/,habrahabr.ru,18437,2008-01-08 14:52:00,@dinamyte,misc,False,364,«Хабраворд»,35,3,223,30.0,6.0,-0.829687640411,-0.309514596461,0.306834171278
57,57,https://geektimes.ru/post/18444/,geektimes.ru,18444,2008-01-08 18:09:00,@andreikharlanov,,False,2159,MacHeist II: четвертая миссия (бесплатные программы),24,4,190,26.0,4.0,-0.886789375244,0.484754181987,0.229984821758
58,58,https://habrahabr.ru/post/18447/,habrahabr.ru,18447,2008-01-08 20:06:00,@Novikov,admin,False,251,"Что лучше для сервера: Линукс, FreeBSD или Mac OS X Server и почему?",76,5,10600,18.0,18.0,1.95008289026,-0.028220683619,0.866975882669
59,59,https://habrahabr.ru/post/18452/,habrahabr.ru,18452,2008-01-08 23:42:00,@ooprizrakoo,develop,False,6224,"«Web 4.0, или в четвертой мировой войне будут воевать дубинками»",26,6,2400,12.0,2.0,0.870064336838,0.0775193518009,0.0927599773045
60,60,https://geektimes.ru/post/18456/,geektimes.ru,18456,2008-01-09 04:23:00,@dennydo,,False,642,Как начиналась эпоха ИТ,9,1,275,5.0,0.0,-0.51603402207,-0.472948695449,-0.452110875523
61,61,https://habrahabr.ru/post/18457/,habrahabr.ru,18457,2008-01-09 04:49:00,@Wadim,misc,False,3718,"Bigthink.com — стартап для интеллектуалов и мыслителей, то чем мог стать top4top",30,18,352,22.0,3.0,-0.504682650283,0.763271408241,0.194450689977
62,62,https://habrahabr.ru/post/18460/,habrahabr.ru,18460,2008-01-09 12:45:00,@VovaLitvin,develop,False,684,bestwebdevs (лучшие студии) объективно или нет?,6,3,181,4.0,8.0,-0.975816361251,-0.305267753301,-0.89374062242
63,63,https://habrahabr.ru/post/18467/,habrahabr.ru,18467,2008-01-09 14:09:00,@hightower,misc,False,3035,Бесплатная телефонная связь с контекстной рекламой,7,5,350,4.0,2.0,-0.494329492902,-0.0216552651215,-0.790471793673
64,64,https://habrahabr.ru/post/18468/,habrahabr.ru,18468,2008-01-09 14:14:00,@AntonShevchuk,develop,False,3110,PHP библиотека для jQuery,78,65,4500,37.0,13.0,1.36363758745,1.64019582928,0.902402986368
65,65,https://geektimes.ru/post/18471/,geektimes.ru,18471,2008-01-09 15:27:00,@andreikharlanov,,False,4303,MacHeist II — пора покупать,5,2,224,9.0,5.0,-0.706794544585,-0.0277533969699,-0.821961494382
66,66,https://geektimes.ru/post/18472/,geektimes.ru,18472,2008-01-09 15:35:00,@alizar,,False,2399,Мифические животные как бренды,37,4,956,22.0,2.0,0.721014273888,0.524088971022,0.564303370316
67,67,https://habrahabr.ru/post/18474/,habrahabr.ru,18474,2008-01-09 16:24:00,@Shpankov,develop,False,332,Перевод Opera-9.50,0,0,250,6.0,2.0,-0.7412443936,-1.26559674608,-2.3272733533
68,68,https://habrahabr.ru/post/18475/,habrahabr.ru,18475,2008-01-09 16:26:00,@Shpankov,develop,False,751,Open Forum Europe поддержала Opera Software,70,1,219,16.0,2.0,-0.834894582747,-0.780998592005,0.822430876256
69,69,https://habrahabr.ru/post/18477/,habrahabr.ru,18477,2008-01-09 16:50:00,@alizar,design,False,1586,В Китае вводят государственные лицензии для сервисов UGC,3,0,211,2.0,1.0,-0.859125694399,-1.25720850871,-1.28773808061
70,70,https://habrahabr.ru/post/18483/,habrahabr.ru,18483,2008-01-09 20:31:00,@kostin,admin,False,3195,Ubuntu 8.04 Hardy Heron — есть чего ждать,137,2,281,41.0,2.0,-0.653440440484,-0.49888699537,1.31124549191
71,71,https://habrahabr.ru/post/18485/,habrahabr.ru,18485,2008-01-09 21:21:00,@InGift,misc,False,13706,Исследование проекта Facebook.com,91,53,699,53.0,5.0,0.0100328771252,1.49753811201,1.00613338797
72,72,https://habrahabr.ru/post/18486/,habrahabr.ru,18486,2008-01-09 21:58:00,@Sersh,management,False,1734,Вот так лого!,20,5,613,9.0,3.0,-0.0855713327494,-0.0248872295109,-0.0844773301943
73,73,https://habrahabr.ru/post/18488/,habrahabr.ru,18488,2008-01-09 22:35:00,@mix2000,develop,False,2828,Локализация Drupal 5.x,4,10,398,3.0,3.0,-0.400305198393,0.393389274466,-1.142029943
74,74,https://geektimes.ru/post/18489/,geektimes.ru,18489,2008-01-09 23:01:00,@Steward,,False,106,"сверхмегасовременная (с) ньюсрум РИА Новости. То, что не видел никто!:)",29,1,341,13.0,8.0,-0.299953199062,-0.478326236398,0.391832824892
75,75,https://geektimes.ru/post/18493/,geektimes.ru,18493,2008-01-10 00:39:00,@kvladimir,,False,3516,Небольшой эксперимент с Google Translate,33,1,517,20.0,10.0,0.107699542582,-0.476269975853,0.483750576214
76,76,https://geektimes.ru/post/18498/,geektimes.ru,18498,2008-01-10 02:51:00,@olyapka,,False,1023,CES 2008: BenQ представляет Mobile Internet Device с WiFi и поддержкой сетей 3.5G,19,1,334,12.0,3.0,-0.320908840385,-0.474240008098,0.0842249208049
77,77,https://habrahabr.ru/company/usabilitylab/blog/18501/,habrahabr.ru,18501,2008-01-10 05:54:00,,misc,False,4097,Анатолий Костин. Эта непредсказуемая автоматика,135,8,1000,36.0,22.0,0.276830215481,0.257590017491,1.29363254966
78,78,https://habrahabr.ru/post/18504/,habrahabr.ru,18504,2008-01-10 10:38:00,@avenu,develop,False,2037,CakePHP 1.2 beta,39,3,276,3.0,0.0,-0.669689742423,-0.306151495098,0.386544516927
79,79,https://habrahabr.ru/post/18506/,habrahabr.ru,18506,2008-01-10 11:42:00,@xOr,develop,False,740,Устранение мигания фоновых картинок в IE6,50,90,810,33.0,2.0,0.11901850788,1.85138563696,0.564190496933
80,80,https://geektimes.ru/post/18507/,geektimes.ru,18507,2008-01-10 12:41:00,@eatart,,False,1567,Фотографии USB 3.0 с CES-2008,53,1,214,26.0,1.0,-0.751891413226,-0.498464831476,0.824439263889
81,81,https://geektimes.ru/post/18509/,geektimes.ru,18509,2008-01-10 12:50:00,@c4mb3ll,,False,540,Первые фото Asus Eee PC с 8-дюймовым экраном,45,2,265,22.0,1.0,-0.538884249129,-0.0570686857008,0.69995226994
82,82,https://habrahabr.ru/post/18510/,habrahabr.ru,18510,2008-01-10 13:26:00,@Rogozhin,misc,False,1668,«Стартап на миллион» — дайджест за месяц,12,22,277,16.0,2.0,-0.666113942221,0.887310595657,-0.44191613084
83,83,https://geektimes.ru/post/18512/,geektimes.ru,18512,2008-01-10 14:20:00,@alizar,,False,1006,Дождь и снег появились на Google Maps,18,4,573,34.0,2.0,0.219916821141,0.49838815062,0.0359589819288
84,84,https://habrahabr.ru/post/18513/,habrahabr.ru,18513,2008-01-10 14:43:00,@Shpankov,develop,False,2327,Официальный «холивар»,84,0,209,20.0,14.0,-0.876908205141,-1.27100319342,0.944803314588
85,85,https://habrahabr.ru/post/18517/,habrahabr.ru,18517,2008-01-10 15:08:00,@Shpankov,develop,False,1593,Opera ищет таланты. И поощряет.,5,0,228,8.0,3.0,-0.809252562456,-1.26463393206,-1.01927800106
86,86,https://habrahabr.ru/post/18518/,habrahabr.ru,18518,2008-01-10 15:09:00,@alizar,misc,False,1497,Блогерская платформа Profy: новосибирский стартап на американском рынке,115,8,232,26.0,3.0,-0.793750302934,0.245906781488,1.17517275163
87,87,https://habrahabr.ru/post/18521/,habrahabr.ru,18521,2008-01-10 17:11:00,@TonyClifton,admin,False,1681,Качественный хостинг — миф или реальность?,318,21,1100,47.0,10.0,0.381323477351,0.872865348913,1.92171285481
88,88,https://habrahabr.ru/post/18525/,habrahabr.ru,18525,2008-01-10 19:21:00,@suckdontbite,develop,False,1326,Закончился Ruby Logo Contest,24,1,426,12.0,0.0,-0.34386921268,-0.788315897236,0.0351919679203
89,89,https://habrahabr.ru/post/18526/,habrahabr.ru,18526,2008-01-10 19:29:00,@dimulka_9,admin,False,317,Windows-хостинг,9,1,268,5.0,9.0,-0.691928075688,-0.785840815869,-0.636609572047
90,90,https://habrahabr.ru/post/18529/,habrahabr.ru,18529,2008-01-10 19:54:00,@blv,develop,False,3444,jQuery для верстальщика (часть 1): стрелочки для ссылочек,54,63,1300,54.0,5.0,0.501057732012,1.61860032731,0.6163099189
91,91,https://geektimes.ru/post/18535/,geektimes.ru,18535,2008-01-10 21:08:00,@GogA,,False,289,Советский web 2.0,86,7,167,126.0,6.0,-0.973288942881,1.01101177791,1.20784058608
92,92,https://geektimes.ru/post/18537/,geektimes.ru,18537,2008-01-10 22:22:00,@hightower,,False,2700,Гарнитура Jawbone: 44 миллиона долларов за тишину,11,5,781,10.0,4.0,0.535202956389,0.69321547408,-0.307734505842
93,93,https://geektimes.ru/post/18541/,geektimes.ru,18541,2008-01-10 22:55:00,@blv,,False,1432,Какая JavaScript-библиотека лучшая?,24,10,386,5.0,2.0,-0.155909833079,1.34466575675,0.252862203383
94,94,https://geektimes.ru/post/18542/,geektimes.ru,18542,2008-01-10 22:57:00,@zboris,,False,2534,Apple MacPro 8-cores не уступают платформе Intel Skulltrail для энтузиастов производства Alienware!,7,0,429,3.0,4.0,-0.051828551231,-1.25328896465,-0.619435921293
95,95,https://habrahabr.ru/post/18545/,habrahabr.ru,18545,2008-01-11 00:23:00,@DorBer,develop,False,3033,FineReader и Клинопись,53,27,1300,43.0,1.0,0.496105948433,1.03255450264,0.603050860071
96,96,https://geektimes.ru/post/18544/,geektimes.ru,18544,2008-01-11 00:23:00,@Bulletproof,,False,962,Google и Facebook сделают данные пользователей портативными,2,2,223,7.0,1.0,-0.694596447455,-0.0601200127072,-1.36808257765
97,97,https://habrahabr.ru/post/31357/,habrahabr.ru,31357,2008-01-11 00:51:00,@sunnybear,develop,False,19856,Будущее веб-стандартов,36,15,461,33.0,5.0,-0.28951896345,0.641394633391,0.323621935696
98,98,https://habrahabr.ru/post/18551/,habrahabr.ru,18551,2008-01-11 02:49:00,@dennydo,misc,False,378,Xobni — новый инетресный стартап в Сан-Франциско,6,3,192,4.0,1.0,-0.953358936172,-0.320313291595,-0.903834747283
99,99,https://habrahabr.ru/post/18553/,habrahabr.ru,18553,2008-01-11 03:03:00,@dennydo,misc,False,836,IM History,50,1,171,15.0,3.0,-1.0372491591,-0.799534806323,0.559933022627
100,100,https://geektimes.ru/post/18560/,geektimes.ru,18560,2008-01-11 10:42:00,@Mastyf,,False,403,Показ рекламы в AdSense стал бесконечным?,14,2,225,11.0,1.0,-0.698800025867,-0.0655220839436,-0.131616399339
101,101,https://habrahabr.ru/post/18563/,habrahabr.ru,18563,2008-01-11 11:48:00,@gesser,management,False,2931,Миф о незаменимых работниках,163,27,1500,55.0,8.0,0.6069675283,1.02783766428,1.41561518306
102,102,https://geektimes.ru/post/18564/,geektimes.ru,18564,2008-01-11 12:09:00,@BmW,,False,2017,GMail — IMAP теперь по-русски,69,5,6000,50.0,3.0,2.54163983085,0.682413479137,1.04049723394
103,103,https://habrahabr.ru/post/18565/,habrahabr.ru,18565,2008-01-11 12:13:00,@DeadMoroz,develop,False,2988,Работа с командной строкой в Windows,89,11,5800,20.0,3.0,1.62948607074,0.440029917608,0.96813173896
104,104,https://habrahabr.ru/post/18570/,habrahabr.ru,18570,2008-01-11 12:34:00,@Shpankov,develop,False,941,Opera-9.5 быстрее IE в десять раз,97,1,209,27.0,10.0,-0.887990237554,-0.797334190773,1.02690304995
105,105,https://habrahabr.ru/post/18571/,habrahabr.ru,18571,2008-01-11 13:21:00,@webcasper,misc,False,686,У известнейшего блогера Ома Малика случился сердечный приступ,0,0,185,7.0,10.0,-0.979689291831,-1.27562256532,-2.32912290205
106,106,https://habrahabr.ru/post/18574/,habrahabr.ru,18574,2008-01-11 14:52:00,@glazs,develop,False,424,Релиз KDE 4.0,73,4,266,54.0,5.0,-0.700449067222,-0.157943086353,0.81753507293
107,107,https://geektimes.ru/post/18578/,geektimes.ru,18578,2008-01-11 16:05:00,@vladon,,False,219,Забавный глюк в IE 7,40,1,277,21.0,4.0,-0.497241609231,-0.502872190963,0.636613144862
108,108,https://habrahabr.ru/post/18579/,habrahabr.ru,18579,2008-01-11 16:38:00,@blv,develop,False,4722,jQuery для верстальщика (часть 2): вкусные меню,72,59,3200,18.0,6.0,1.18678525353,1.5652294338,0.808731688833
109,109,https://habrahabr.ru/post/18582/,habrahabr.ru,18582,2008-01-11 17:07:00,@blv,develop,False,2099,Бойтесь браузеры — ACID 3 грядет!,150,3,348,40.0,0.0,-0.495757782851,-0.312776622563,1.33296319407
110,110,https://habrahabr.ru/post/18588/,habrahabr.ru,18588,2008-01-11 18:21:00,@rumkin,design,False,1030,Флажки,45,128,1400,75.0,4.0,0.558733594768,2.08767782067,0.465679136249
111,111,https://geektimes.ru/post/18589/,geektimes.ru,18589,2008-01-11 18:29:00,@blv,,False,750,Война браузеров,35,1,199,5.0,0.0,-0.80801019228,-0.502872190963,0.54492889195
112,112,https://habrahabr.ru/post/18595/,habrahabr.ru,18595,2008-01-11 20:47:00,@VVBash,admin,False,2189,Linux в организации…,80,40,2300,47.0,2.0,0.933846079884,1.27971582141,0.874703351136
113,113,https://geektimes.ru/post/18599/,geektimes.ru,18599,2008-01-11 23:52:00,@arestov,,False,5066,Пиратство!?,389,21,287,105.0,5.0,-0.449985717982,2.10321937285,2.3813874684
114,114,https://habrahabr.ru/post/18600/,habrahabr.ru,18600,2008-01-12 00:29:00,@Cher,misc,False,1279,Реламная сеть с честным разделением доходов,13,4,181,5.0,3.0,-0.996014611235,-0.171232509428,-0.397023854654
115,115,https://habrahabr.ru/post/18602/,habrahabr.ru,18602,2008-01-12 00:50:00,@janisha,develop,False,1045,Задача про две пилюли,172,11,949,34.0,10.0,0.260394762979,0.429700263236,1.43091904927
116,116,https://habrahabr.ru/post/18611/,habrahabr.ru,18611,2008-01-12 12:12:00,@DezmASter,design,False,15982,Цветовые миксеры. ColorSchemer Studio vs Adobe Kuler,31,64,17300,26.0,4.0,2.47280860743,1.59372997061,0.197797389674
117,117,https://habrahabr.ru/post/18613/,habrahabr.ru,18613,2008-01-12 13:13:00,@aleks_raiden,misc,False,20540,Поговорим о стартапах 2 или снова о дизайне и самое главное — на что же тратить деньги?,39,25,638,11.0,6.0,-0.0364377811306,0.962230606353,0.359088052015
118,118,https://habrahabr.ru/post/18614/,habrahabr.ru,18614,2008-01-12 13:19:00,@krylatij,develop,False,5880,Встречайте — ACID3,45,4,226,28.0,9.0,-0.81557708623,-0.170573953722,0.459396827785
119,119,https://habrahabr.ru/company/usabilitylab/blog/18615/,habrahabr.ru,18615,2008-01-12 13:26:00,,misc,False,28034,Анатолий Костин. Автоматизация и человек: мечты и реальность,21,9,2300,19.0,8.0,0.931917544181,0.305421780651,-0.0759100985865
120,120,https://habrahabr.ru/post/31359/,habrahabr.ru,31359,2008-01-12 15:21:00,@vladbuk,develop,False,602,Импорт публикаций из Вордпресса в Блогспот,2,3,250,4.0,0.0,-0.740996345237,-0.325079860346,-1.52162488338
